model,total_market_return,total_strategy_return,excess_return,sharpe_ratio,sortino_ratio,max_drawdown,num_trades,total_costs,win_rate,avg_win,avg_loss,win_loss_ratio
GradientBoosting,-0.017638550593303215,0.007093253679982372,0.024731804273285588,0.6260458321580175,0.26247738365399237,-0.010085181639788665,6.0,0.006,0.018691588785046728,,,
RandomForest,-0.017638550593303215,0.0025615801813323466,0.02020013077463556,0.23873227654650514,0.08208900328631297,-0.010085181639788665,4.0,0.004,0.009345794392523364,,,
XGBoost,-0.017638550593303215,0.0025615801813323466,0.02020013077463556,0.23873227654650514,0.08208900328631297,-0.010085181639788665,4.0,0.004,0.009345794392523364,,,
LightGBM,-0.017638550593303215,0.0025615801813323466,0.02020013077463556,0.23873227654650514,0.08208900328631297,-0.010085181639788665,4.0,0.004,0.009345794392523364,,,
executed,-0.017638550593303215,0.0,0.017638550593303215,0.0,0.0,0.0,0.0,0.0,0.0,,,
Ensemble (Voted + Risk-Reward),-0.017638550593303215,0.0,0.017638550593303215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voted,-0.017638550593303215,-0.0073065517882882035,0.010331998805015011,-0.5102704650782771,-0.20026441665565015,-0.015372019257139354,8.0,0.008,0.018691588785046728,,,
exec_voted,-0.017638550593303215,-0.0073065517882882035,0.010331998805015011,-0.5102704650782771,-0.20026441665565015,-0.015372019257139354,8.0,0.008,0.018691588785046728,,,
Ridge,-0.017638550593303215,-0.02449408138397491,-0.006855530790671693,-2.3374127721857385,-0.5943590337799243,-0.024326497788337953,4.0,0.004,0.0,,,
Lasso,-0.017638550593303215,-0.02449408138397491,-0.006855530790671693,-2.3374127721857385,-0.5943590337799243,-0.024326497788337953,4.0,0.004,0.0,,,
ElasticNet,-0.017638550593303215,-0.02449408138397491,-0.006855530790671693,-2.3374127721857385,-0.5943590337799243,-0.024326497788337953,4.0,0.004,0.0,,,
