,0
train_MAE,0.011056060154304114
train_RMSE,0.015982089435104065
train_MAPE,46312.79945363459
train_R2,0.044722474654291466
train_IC,0.2526625652655914
train_HitRatio,0.532520325203252
train_N,492.0
train_Error_Mean,5.671706989891823e-06
train_Error_Std,0.0159983551896005
train_Error_Skew,-0.3079342724029145
train_Error_Kurt,13.609653845071545
val_MAE,0.008855675045232778
val_RMSE,0.012478422412887758
val_MAPE,69856.3329967368
val_R2,0.012594699562731293
val_IC,0.23664691062333673
val_HitRatio,0.5094339622641509
val_N,106.0
val_Error_Mean,-0.002475528766284315
val_Error_Std,0.012288506059623124
val_Error_Skew,-0.03870802006665393
val_Error_Kurt,2.6911611213650803
test_MAE,0.00866507858512531
test_RMSE,0.012496442354385793
test_MAPE,8289.583268417096
test_R2,0.03804753370036518
test_IC,0.24967366136260502
test_HitRatio,0.5566037735849056
test_N,106.0
test_Error_Mean,-0.0008902634373936795
test_Error_Std,0.012523905243677323
test_Error_Skew,1.5136536161321064
test_Error_Kurt,6.669315435616014
